entity_id	module_id	name	classification	reason	criterion_ids	workflow_ids	persistence_class	mutability	implemented
ENT-SIM-006	MOD-SIM	AuthorizationInput	REQUIRED_FOR_VS001	Typed normalized run input	VSAC-004-006;VSAC-004-007;VSAC-004-009;VSAC-004-010;VSAC-004-012	WF-004-012	scenario_runs.normalized_input	immutable after completion	YES
ENT-SIM-007	MOD-SIM	DecisionTrace	REQUIRED_FOR_VS001	Ordered deterministic explanation	VSAC-004-011;VSAC-004-012;VSAC-004-014;VSAC-004-015;VSAC-004-016;VSAC-004-018;VSAC-004-019	WF-004-012	PostgreSQL decision_traces	append-only	YES
ENT-SIM-008	MOD-SIM	RuleSetRevision	REQUIRED_FOR_VS001	Approved bounded semantics	VSAC-004-008;VSAC-004-013;VSAC-004-014;VSAC-004-015;VSAC-004-024	WF-004-012	PostgreSQL simulator_rule_revisions	approved immutable	YES
ENT-EVD-001	MOD-EVD	EvidenceRecord	REQUIRED_FOR_VS001	SIMULATED revision/digest binding	VSAC-004-018	WF-004-014	PostgreSQL evidence_records	accepted content immutable	YES
ENT-EVD-002	MOD-EVD	EvidenceOrigin	REQUIRED_FOR_VS001	Database constraint permits SIMULATED only	VSAC-004-018	WF-004-014	evidence_records.origin	constant	YES
ENT-EVD-003	MOD-EVD	EvidenceDecision	REQUIRED_FOR_VS001	Independent human review state	VSAC-004-022	WF-004-014	PostgreSQL evidence_decisions	single auditable decision	YES
ENT-LRN-002	MOD-LRN	MicroPractice	REQUIRED_FOR_VS001	One bounded access decision	VSAC-004-021	WF-004-008	PostgreSQL micro_practices	revisioned definition	YES
ENT-LRN-004	MOD-LRN	PracticeAttempt	REQUIRED_FOR_VS001	Outcome plus explicit rationale	VSAC-004-021	WF-004-008	PostgreSQL practice_attempts	append-only	YES
ENT-LRN-006	MOD-LRN	MasteryRuleRevision	REQUIRED_FOR_VS001	Versioned provisional rule	VSAC-004-022	WF-004-015	PostgreSQL mastery_rule_revisions	approved immutable	YES
ENT-LRN-007	MOD-LRN	MasteryState	REQUIRED_FOR_VS001	Deterministic reevaluation result	VSAC-004-022	WF-004-015	PostgreSQL mastery_states	recomputed from evidence	YES
ENT-LRN-008	MOD-LRN	ReviewTrigger	REQUIRED_FOR_VS001	Failure-specific trigger	VSAC-004-023	WF-004-016	PostgreSQL review_triggers	append/schedule controlled	YES
ENT-LRN-009	MOD-LRN	ReviewSchedule	REQUIRED_FOR_VS001	Schedules source-anchored review	VSAC-004-023	WF-004-016	review_triggers status/scheduled_at	workflow controlled	YES
ENT-AIB-001	MOD-AIB	ManualAIInteraction	NOT_IMPLEMENTED	Explicitly outside VS-001 and Task-007	NONE	NONE	NONE	NONE	NO
