requirement_id	requirement_type	statement	rationale	priority	scope	owning_module	acceptance_method	source_decision_references	status
PR-004-029	SECURITY	Important authentication custody publication scenario evidence AI package export import backup and restore changes shall create audit records atomically.	Audit gaps undermine review truth.	MUST	V1	MOD-PLT	Audit coverage atomicity and correlation tests	TASK004-12	CANDIDATE_UNIMPLEMENTED
PR-004-030	FUNCTIONAL	Portable imports and exports shall use versioned schemas safe relative paths manifests per-file SHA-256 and explicit scope.	Supports safe review reuse and transfer.	MUST	V1	MOD-PLT	Round-trip missing tamper traversal and version tests	TASK004-5	CANDIDATE_UNIMPLEMENTED
PR-004-031	FUNCTIONAL	Backup and restore shall preserve database blob and revision consistency using a manifest and staged verification.	Local-first data must be recoverable.	MUST	V1	MOD-PLT	Backup restore corruption and abandoned-stage tests	TASK004-5	CANDIDATE_UNIMPLEMENTED
PR-004-032	SECURITY	The implementation shall mitigate every threat recorded in SECURITY_REQUIREMENTS.tsv and preserve residual limitations.	Security must be testable and product-specific.	MUST	V1	MOD-PLT	Threat-model control test matrix	TASK004-12	CANDIDATE_UNIMPLEMENTED
PR-004-033	QUALITY	The interface shall be Arabic-first with native RTL prose isolated LTR technical tokens and no manual string reversal.	Technical bidi content must remain readable and copyable.	MUST	V1	MOD-PLT	RTL LTR visual DOM and copy tests	TASK004-15	CANDIDATE_UNIMPLEMENTED
PR-004-034	QUALITY	Principal workspaces shall support semantic HTML keyboard navigation visible focus adequate contrast and responsive desktop tablet mobile reflow.	Accessibility is a release property.	MUST	V1	MOD-PLT	Automated and manual accessibility plus viewport tests	TASK004-15	CANDIDATE_UNIMPLEMENTED
PR-004-035	FUNCTIONAL	VS-001 shall traverse reviewed source publication practice simulated Windows authorization evidence mastery and failure review for CAP-D03-03-01 and KU-AD-02.	The first slice must validate the whole product lifecycle deeply.	MUST	V1	MOD-SIM	VS001_ACCEPTANCE_CRITERIA.tsv aggregate gate	TASK004-18	CANDIDATE_UNIMPLEMENTED
PR-004-036	BOUNDARY	VS-001 technical publication and real-transfer claims shall remain blocked until a target Windows baseline and Microsoft Open Specifications are reviewed.	Current local evidence is not authoritative Windows truth.	MUST	V1	MOD-KNO	Publication-blocker and authority-decision tests	TASK003R;TASK004-18	CANDIDATE_UNIMPLEMENTED
PR-004-037	BOUNDARY	Tasks 006 through 010 shall follow the bounded sequence and named review gates without self-approval.	Prevents uncontrolled implementation drift.	MUST	V1	MOD-PLT	Review-packet and gate audit	TASK004-19	CANDIDATE_UNIMPLEMENTED
PR-004-038	BOUNDARY	v1 shall not claim complete cybersecurity curriculum or promote all 96 provisional KU candidates to finished content.	Semantic architecture is expansion capacity not finished curriculum.	MUST	V1	MOD-CUR	Content inventory and release-claim review	TASK003R;TASK004-4.2	CANDIDATE_UNIMPLEMENTED
PR-004-039	BOUNDARY	The v1 roadmap shall not include microservices Kafka Kubernetes graph or search clusters Redis automated AI provider adapters local models or marketplace infrastructure.	No blocking need has been established.	MUST	V1	MOD-PLT	Dependency deployment and source scan	TASK004-4.7;TASK004-4.9	CANDIDATE_UNIMPLEMENTED
PR-004-040	SECURITY	Displayed lesson or scenario commands shall never execute merely because they are displayed or selected.	Separates education and simulation from host compromise.	MUST	V1	MOD-SIM	No-process no-network and UI interaction tests	DEC-004-014	CANDIDATE_UNIMPLEMENTED
PR-004-041	SECURITY	Any development-only authentication bypass shall be off by default visible audited and impossible in a release profile.	Convenience must not create a release backdoor.	SHOULD	V1	MOD-IAM	Configuration fail-closed and release-profile tests	TASK004-6	CANDIDATE_UNIMPLEMENTED
PR-004-042	QUALITY	Draft published imported reviewed unresolved simulated and real-lab states shall be visibly and non-color-only distinguished.	Prevents misleading workflow and evidence state.	MUST	V1	MOD-PLT	UI state-label and accessibility tests	TASK004-15	CANDIDATE_UNIMPLEMENTED
PR-004-043	BOUNDARY	Real-execution connectors and production operational integrations shall remain outside v1.	The platform is a learning and simulation product.	MUST	V1	MOD-SIM	Architecture and dependency scan	DEC-004-014	CANDIDATE_UNIMPLEMENTED

