security_requirement_id	threat	statement	owning_module	priority	scope	acceptance_method	related_requirement_ids	status
SEC-004-013	Simulation real-world confusion	Prohibit real connectors and require simulated labels on output evidence and portfolio views.	MOD-SIM	MUST	V1	Dependency scan schema constraints and UI text review.	PR-004-014;PR-004-043	CANDIDATE_UNIMPLEMENTED
SEC-004-014	Evidence tampering	Bind immutable evidence bytes to digest origin producer attempt run transition and append-only decisions.	MOD-EVD	MUST	V1	Mutation digest and orphan-link tests.	PR-004-014;PR-004-032	CANDIDATE_UNIMPLEMENTED
SEC-004-015	Revision history loss	Reject in-place published changes and require transactional new revision publication and verified backup.	MOD-KNO	MUST	V1	Concurrent mutation restoration and failure-injection tests.	PR-004-009;PR-004-031	CANDIDATE_UNIMPLEMENTED
SEC-004-016	Sensitive logs	Use structured allowlists redaction and correlation IDs without credentials source bodies or unbounded payloads.	MOD-PLT	MUST	V1	Secret fixture and log snapshot tests.	PR-004-029;PR-004-032	CANDIDATE_UNIMPLEMENTED
SEC-004-017	Secrets exposure	Keep secrets outside source records packages audit and backups by default and fail on missing release secrets.	MOD-PLT	MUST	V1	Secret scan backup inspection and configuration tests.	PR-004-031;PR-004-032	CANDIDATE_UNIMPLEMENTED
SEC-004-018	Dependency compromise	Select supported compatible versions lock dependencies minimize packages and review known vulnerabilities.	MOD-PLT	MUST	V1	Lockfile SBOM and vulnerability review.	PR-004-025;PR-004-039	CANDIDATE_UNIMPLEMENTED
SEC-004-019	Backup exposure	Use explicit destination restrictive access manifest and approved encryption decision without default secrets.	MOD-PLT	MUST	V1	Permissions package inspection and tamper tests.	PR-004-031	CANDIDATE_UNIMPLEMENTED
SEC-004-020	Local service exposure	Bind to loopback by default and require owner authentication; remote mode shall fail closed until separately approved.	MOD-PLT	MUST	V1	Socket bind firewall profile and unauthenticated request tests.	PR-004-003;PR-004-023	CANDIDATE_UNIMPLEMENTED
SEC-004-021	CSRF session fixation and theft	Use CSRF validation session rotation SameSite HttpOnly Secure where applicable expiry and revocation.	MOD-IAM	MUST	V1	Framework session and CSRF security tests.	PR-004-003	CANDIDATE_UNIMPLEMENTED
SEC-004-022	Password guessing	Use modern adaptive password hashing rate limiting backoff and no plaintext persistence or logging.	MOD-IAM	MUST	V1	Hash configuration rate and log tests.	PR-004-003	CANDIDATE_UNIMPLEMENTED
SEC-004-023	Database corruption	Use constraints transactions optimistic concurrency blob-digest checks and staged restore verification.	MOD-PLT	MUST	V1	Failure injection constraint and recovery tests.	PR-004-026;PR-004-031	CANDIDATE_UNIMPLEMENTED
SEC-004-024	Audit gaps or tampering	Record important actions atomically through append-only audit and detect correlation or sequence gaps.	MOD-PLT	MUST	V1	Coverage atomic rollback and gap-detector tests.	PR-004-029	CANDIDATE_UNIMPLEMENTED
SEC-004-025	Queue replay and duplicate processing	Use idempotency leases bounded retries input revision digests and terminal failure visibility.	MOD-PLT	MUST	V1	Duplicate delivery timeout stale input and retry tests.	PR-004-028	CANDIDATE_UNIMPLEMENTED
SEC-004-026	Unsafe file preview	Serve converted or sandboxed previews with safe content type attachment policy and no active content.	MOD-SRC	MUST	V1	Preview headers sandbox and active-content fixtures.	PR-004-006;PR-004-032	CANDIDATE_UNIMPLEMENTED
SEC-004-027	Development bypass in release	Any development auth bypass shall be off by default visible audited and rejected in release configuration.	MOD-IAM	MUST	V1	Release configuration and banner audit tests.	PR-004-041	CANDIDATE_UNIMPLEMENTED

