workflow_id	workflow_name	owning_module	participating_modules	trigger	preconditions	terminal_outcomes	audit_requirement	v1_scope	vs001_participation	status
WF-004-011	Start isolated Scenario Run	MOD-SIM	MOD-SIM;MOD-ENT;MOD-IAM;MOD-PLT	Owner starts lab	Published scenario and baseline revisions resolve	RUN_STARTED;BLOCKED	Snapshot revisions digests seed actor	V1	Creates authorization run snapshot	CANDIDATE
WF-004-012	Apply simulated action	MOD-SIM	MOD-SIM;MOD-ENT;MOD-EVD;MOD-PLT	Owner submits simulated action	Active Run identity device rule set and state resolve	APPLIED;DENIED_PERMISSION;INVALID_SYNTAX;INVALID_PARAMETER;UNSUPPORTED_STATE;INSUFFICIENT_STATE;NO_STATE_CHANGE	Input rules trace and state digests	V1	Evaluates requested access and ACE trace	CANDIDATE
WF-004-013	Reset and replay Run	MOD-SIM	MOD-SIM;MOD-PLT	Owner resets or requests replay	Run snapshot and ordered inputs retained	RESET;REPLAY_MATCH;REPLAY_MISMATCH	Epoch seed input sequence and trace comparison	V1	Proves deterministic VS-001 behavior	CANDIDATE
WF-004-014	Evidence registration and decision	MOD-EVD	MOD-EVD;MOD-SIM;MOD-LRN;MOD-IAM;MOD-PLT	Attempt or Run produces evidence	Origin producer criteria and digest resolve	ACCEPTED;REJECTED;NEEDS_REVIEW	Origin digest criteria decision and actor	V1	Records SIMULATED access trace	CANDIDATE
WF-004-015	Mastery evaluation	MOD-LRN	MOD-LRN;MOD-EVD;MOD-CUR;MOD-PLT	Evidence decision changes or review due	Rule-set revision and eligible evidence resolve	STATE_ADVANCED;STATE_HELD;STATE_REGRESSED;REVIEW_REQUIRED	Rule inputs result and rationale	V1	Evaluates positive negative and retention evidence	CANDIDATE
WF-004-016	Failure-based review scheduling	MOD-LRN	MOD-LRN;MOD-KNO;MOD-CUR;MOD-PLT	Attempt mastery or retention failure occurs	Specific failed concept action or evidence gap recorded	REVIEW_SCHEDULED;BLOCKED_BY_PREREQUISITE	Trigger cause due policy and links	V1	Schedules missed ACE mask provenance or unresolved-state review	CANDIDATE
WF-004-017	Manual AI package export	MOD-AIB	MOD-AIB;MOD-SRC;MOD-KNO;MOD-PLT;MOD-IAM	Owner confirms visible export scope	Selected revisions redaction and requested schema validate	EXPORTED;REJECTED	Exact files digests scope and actor	V1	Optional bounded proposal package only	CANDIDATE
WF-004-018	Manual AI result import and review	MOD-AIB	MOD-AIB;MOD-SRC;MOD-KNO;MOD-CUR;MOD-PLT;MOD-IAM	Owner imports manually processed result	Matching package revision exists	STRUCTURAL_VALIDATION_FAILED;PROVENANCE_VALIDATION_FAILED;AWAITING_HUMAN_REVIEW;PARTIALLY_ACCEPTED;ACCEPTED;REJECTED	Import digest validations diff decisions resulting drafts	V1	Cannot establish Windows authority or auto-publish	CANDIDATE
WF-004-019	Backup creation and verification	MOD-PLT	ALL	Owner requests backup	Consistent database and blob snapshot available	BACKUP_VERIFIED;FAILED	Scope versions manifest hashes and destination	V1	Preserves slice records	CANDIDATE
WF-004-020	Staged restore	MOD-PLT	ALL	Owner selects backup for restore	Package manifest and access checks pass	STAGED_VERIFIED;ACTIVATED;ABANDONED;FAILED	Every validation activation and rollback decision	V1	Restores slice data without silent overwrite	CANDIDATE

