entity_id	entity_name	owning_module	persistence_class	mutability	authoritative_source	lifecycle_notes	vs001_required	status
ENT-KNO-002	KnowledgeRevision	MOD-KNO	IMMUTABLE_REVISION	IMMUTABLE	MOD-KNO	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-KNO-003	Lesson	MOD-KNO	CURRENT_WITH_HISTORY	VERSIONED_MUTABLE	MOD-KNO	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-KNO-004	LessonRevision	MOD-KNO	IMMUTABLE_WHEN_PUBLISHED	IMMUTABLE	MOD-KNO	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-KNO-005	ContentBlockRevision	MOD-KNO	IMMUTABLE_WITH_REVISION	IMMUTABLE	MOD-KNO	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-KNO-006	PublicationReview	MOD-KNO	APPEND_ONLY	APPEND_ONLY	MOD-KNO	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-KNO-007	ImpactAssessment	MOD-KNO	REVISIONED	VERSIONED_MUTABLE	MOD-KNO	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-KNO-008	CitationLink	MOD-KNO	IMMUTABLE_RELATION	IMMUTABLE	MOD-KNO	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-CUR-001	Domain	MOD-CUR	GOVERNED_REFERENCE	GOVERNED_REVISIONED	MOD-CUR	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-CUR-002	CapabilityCluster	MOD-CUR	GOVERNED_REFERENCE	GOVERNED_REVISIONED	MOD-CUR	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-CUR-003	Capability	MOD-CUR	GOVERNED_REFERENCE	GOVERNED_REVISIONED	MOD-CUR	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-CUR-004	KnowledgeUnit	MOD-CUR	GOVERNED_REFERENCE	GOVERNED_REVISIONED	MOD-CUR	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-CUR-005	CapabilityRelationship	MOD-CUR	GOVERNED_RELATION	GOVERNED_REVISIONED	MOD-CUR	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-CUR-006	LearningPathTemplate	MOD-CUR	REVISIONED	VERSIONED_MUTABLE	MOD-CUR	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-LRN-001	DiagnosticDefinition	MOD-LRN	REVISIONED	VERSIONED_MUTABLE	MOD-LRN	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	NO	CANDIDATE
ENT-LRN-002	PracticeDefinition	MOD-LRN	REVISIONED	VERSIONED_MUTABLE	MOD-LRN	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-LRN-003	LabDefinition	MOD-LRN	REVISIONED	VERSIONED_MUTABLE	MOD-LRN	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-LRN-004	Attempt	MOD-LRN	APPEND_ONLY_STATE	APPEND_ONLY	MOD-LRN	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-LRN-005	AttemptEvent	MOD-LRN	APPEND_ONLY	APPEND_ONLY	MOD-LRN	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-LRN-006	MasteryRuleSet	MOD-LRN	IMMUTABLE_REVISION	IMMUTABLE	MOD-LRN	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-LRN-007	MasteryState	MOD-LRN	CURRENT_WITH_HISTORY	VERSIONED_MUTABLE	MOD-LRN	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-LRN-008	ReviewTrigger	MOD-LRN	APPEND_ONLY	APPEND_ONLY	MOD-LRN	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-LRN-009	ReviewSchedule	MOD-LRN	CURRENT_WITH_HISTORY	VERSIONED_MUTABLE	MOD-LRN	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-LRN-010	ProjectIntegration	MOD-LRN	REVISIONED	VERSIONED_MUTABLE	MOD-LRN	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-001	Organization	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-002	Site	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	NO	CANDIDATE
ENT-ENT-003	Network	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	NO	CANDIDATE
ENT-ENT-004	Zone	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	NO	CANDIDATE
ENT-ENT-005	Asset	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-006	System	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-007	Service	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	NO	CANDIDATE
ENT-ENT-008	Application	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	NO	CANDIDATE
ENT-ENT-009	SimulatedIdentity	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-010	Account	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-011	Group	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-012	SimulatedRole	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-013	Privilege	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-014	Trust	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-015	DataAsset	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	NO	CANDIDATE
ENT-ENT-016	Policy	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-017	Control	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-018	Risk	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-019	Threat	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	NO	CANDIDATE
ENT-ENT-020	Finding	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-021	Vulnerability	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	NO	CANDIDATE
ENT-ENT-022	Detection	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	NO	CANDIDATE
ENT-ENT-023	Alert	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	NO	CANDIDATE
ENT-ENT-024	Incident	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	NO	CANDIDATE
ENT-ENT-025	Procedure	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-026	Runbook	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	NO	CANDIDATE
ENT-ENT-027	EvidenceRequirementDefinition	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-028	ResponsibilityAssignment	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-029	EnterpriseBaseline	MOD-ENT	CURRENT_WITH_HISTORY	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-030	EnterpriseBaselineRevision	MOD-ENT	IMMUTABLE_REVISION	IMMUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-031	BaselineChangeProposal	MOD-ENT	REVISIONED	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-ENT-032	TargetObject	MOD-ENT	REVISIONED_CATALOG	VERSIONED_MUTABLE	MOD-ENT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-SIM-001	ScenarioDefinition	MOD-SIM	CURRENT_WITH_HISTORY	VERSIONED_MUTABLE	MOD-SIM	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-SIM-002	ScenarioDefinitionRevision	MOD-SIM	IMMUTABLE_REVISION	IMMUTABLE	MOD-SIM	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-SIM-003	ScenarioNodeRevision	MOD-SIM	IMMUTABLE_WITH_REVISION	IMMUTABLE	MOD-SIM	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-SIM-004	ScenarioPackage	MOD-SIM	IMMUTABLE_PACKAGE	IMMUTABLE	MOD-SIM	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-SIM-005	ScenarioRun	MOD-SIM	APPEND_ONLY_STATE	APPEND_ONLY	MOD-SIM	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-SIM-006	RunState	MOD-SIM	CURRENT_WITH_HISTORY	VERSIONED_MUTABLE	MOD-SIM	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-SIM-007	SimulationTransition	MOD-SIM	APPEND_ONLY	APPEND_ONLY	MOD-SIM	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-SIM-008	SimulationRuleSet	MOD-SIM	IMMUTABLE_REVISION	IMMUTABLE	MOD-SIM	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-SIM-009	DeviceContext	MOD-SIM	APPEND_ONLY_STATE	APPEND_ONLY	MOD-SIM	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-EVD-001	Evidence	MOD-EVD	APPEND_ONLY	APPEND_ONLY	MOD-EVD	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-EVD-002	EvidenceBlob	MOD-EVD	IMMUTABLE_CUSTODY	IMMUTABLE	MOD-EVD	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-EVD-003	EvidenceDecision	MOD-EVD	APPEND_ONLY	APPEND_ONLY	MOD-EVD	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-EVD-004	PortfolioEntry	MOD-EVD	REVISIONED	VERSIONED_MUTABLE	MOD-EVD	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-AIB-001	PromptPackage	MOD-AIB	CURRENT_WITH_HISTORY	VERSIONED_MUTABLE	MOD-AIB	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	NO	CANDIDATE
ENT-AIB-002	PromptPackageRevision	MOD-AIB	IMMUTABLE_REVISION	IMMUTABLE	MOD-AIB	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-AIB-003	ImportedResult	MOD-AIB	IMMUTABLE_IMPORT	IMMUTABLE	MOD-AIB	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-AIB-004	ValidationResult	MOD-AIB	APPEND_ONLY	APPEND_ONLY	MOD-AIB	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-AIB-005	AIProposalDecision	MOD-AIB	APPEND_ONLY	APPEND_ONLY	MOD-AIB	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-PLT-001	AuditRecord	MOD-PLT	APPEND_ONLY	APPEND_ONLY	MOD-PLT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-PLT-002	BlobObject	MOD-PLT	IMMUTABLE_CUSTODY	IMMUTABLE	MOD-PLT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-PLT-003	SearchDocument	MOD-PLT	REBUILDABLE_PROJECTION	REBUILDABLE	MOD-PLT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-PLT-004	ProcessingRun	MOD-PLT	APPEND_ONLY_STATE	APPEND_ONLY	MOD-PLT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-PLT-005	OutboxMessage	MOD-PLT	APPEND_ONLY_STATE	APPEND_ONLY	MOD-PLT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-PLT-006	ExportPackage	MOD-PLT	IMMUTABLE_PACKAGE	IMMUTABLE	MOD-PLT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-PLT-007	BackupManifest	MOD-PLT	IMMUTABLE_PACKAGE	IMMUTABLE	MOD-PLT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-PLT-008	RestoreRun	MOD-PLT	APPEND_ONLY_STATE	APPEND_ONLY	MOD-PLT	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE

